farming_experience,soil_ph,rainfall,temperature,market_distance,fertilizer_affordability,loan_access,soil_type,region,income,land_size,irrigation,financial_goal,recommended_crop
4,8.32,616,30.9,9.6,medium,yes,sandy,central,267515,4.47,borewell,short-term,wheat
7,5.99,1542,22.0,74.3,medium,yes,sandy,west,436166,1.28,borewell,sustainable,sugarcane
24,6.57,611,32.9,12.8,high,no,alluvial,north,978335,8.06,canal,sustainable,wheat
23,6.93,1404,21.5,23.6,low,no,loamy,east,730636,16.08,rainfed,export,pulses
19,5.63,769,19.5,79.2,low,yes,loamy,south,370819,15.69,borewell,export,millets
30,6.49,1451,32.2,71.7,low,yes,black,east,809768,10.48,canal,long-term,rice
26,4.8,740,18.9,41.5,low,no,sandy,south,397903,19.16,rainfed,sustainable,watermelon
28,5.77,1142,11.5,21.5,high,yes,sandy,south,812211,15.43,borewell,long-term,spices
26,7.09,1778,36.1,75.3,medium,yes,alluvial,central,97821,10.46,canal,short-term,vegetables
20,7.4,1887,21.6,93.0,low,no,red,central,285777,10.86,borewell,export,pulses
0,8.29,1188,16.4,48.4,medium,no,clay,south,646246,13.49,rainfed,long-term,groundnut
4,4.52,1070,18.8,62.9,medium,no,sandy,east,466409,17.2,borewell,short-term,cotton
23,7.19,1730,17.2,16.7,low,yes,sandy,east,195264,19.92,canal,sustainable,rice
23,8.28,1815,25.4,77.3,low,no,clay,south,916003,17.44,canal,export,cotton
22,5.87,979,23.6,24.3,low,no,clay,south,737547,7.18,canal,short-term,cotton
15,5.91,1478,24.7,59.9,high,yes,black,south,763330,7.31,drip,export,sugarcane
21,7.2,1963,15.3,77.8,high,no,black,north,115244,9.28,canal,export,coffee
19,7.27,1520,33.3,13.7,low,no,red,north,254334,13.6,canal,export,pulses
17,7.0,1290,29.7,35.2,medium,no,clay,south,563751,15.03,rainfed,long-term,rice
37,8.37,1519,37.1,84.7,low,no,clay,south,183753,13.7,drip,export,groundnut
9,7.65,1233,20.5,10.4,high,no,red,west,579582,12.82,drip,long-term,pulses
7,7.68,1919,14.1,57.1,medium,no,black,north,118181,8.0,rainfed,sustainable,sorghum
6,7.04,549,17.5,85.9,high,no,red,west,342933,12.19,borewell,short-term,cotton
29,5.17,1932,30.7,24.0,medium,yes,red,central,351023,14.32,borewell,short-term,millets
9,7.23,1783,16.4,95.5,medium,no,clay,central,963395,1.08,canal,short-term,cotton
14,6.81,533,21.2,24.1,medium,no,alluvial,north,460106,8.57,borewell,sustainable,sugarcane
27,6.22,1756,19.8,67.7,low,no,sandy,east,782857,3.0,canal,short-term,sugarcane
2,7.85,460,16.2,25.4,medium,yes,loamy,central,377823,12.49,borewell,sustainable,soybean
19,5.19,515,22.1,95.5,high,no,clay,south,661577,19.12,rainfed,export,jute
5,8.23,1774,26.1,11.7,medium,yes,sandy,central,378902,2.0,drip,short-term,cotton
24,4.8,687,10.5,34.1,high,no,red,south,863090,4.74,rainfed,long-term,pulses
5,7.94,1678,39.1,87.9,medium,yes,loamy,west,652910,0.86,canal,sustainable,rice
